Unnamed: 0,Name,Date & Time,Location,Type,Region,Latitude,Longitude,weather,temperature,wind_speed,wind_direction
51,Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,Rain,53,8 to 12 mph,S
52,Poolside,2/2/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,8 to 12 mph,S
53,Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,,,Rain,53,8 to 12 mph,S
54,Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,47.6258303,-122.3581949,Rain,53,8 to 12 mph,S
55,The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
56,All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,,,Rain,53,8 to 12 mph,S
57,Banned & Beloved,2/3/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
58,Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown,,,Rain,53,8 to 12 mph,S
59,Mau P,2/3/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,8 to 12 mph,S
60,Oble,2/3/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,Rain,53,8 to 12 mph,S
61,Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown,,,Rain,53,8 to 12 mph,S
62,The Delta Bombers,2/3/2024,El Corazon,Music,Downtown,47.6188258,-122.3293843,Rain,53,8 to 12 mph,S
63,The Grave Plot Film Fest part 6,2/3/2024,Ark Lodge Cinemas,Film & Media Arts,South Seattle,47.5589937,-122.285421,Rain,53,8 to 12 mph,S
64,Seattle Chamber Music Winter Festival,Now through 2/4/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,10 mph,S
65,Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
66,Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain,53,8 to 12 mph,S
67,Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown,,,Rain,53,8 to 12 mph,S
68,Family Art Day: La Vaughn Belle,2/4/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,Rain,53,8 to 12 mph,S
69,Lil Skies,2/4/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,8 to 12 mph,S
70,Secular and Sacred,2/4/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
71,Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown,,,Rain,53,8 to 12 mph,S
72,Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,Rain,53,8 to 12 mph,S
73,Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
74,Kristin Hannah,2/6/2024,Benaroya Hall,Readings & Lectures,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
75,Michael J. Gerhardt,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
76,Night Lovell,2/6/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,8 to 12 mph,S
77,Soja,2/6/2024,The Neptune Theatre,Music,University District,,,Rain,53,8 to 12 mph,S
78,Kenny Barron Trio,2/6/2024 through 2/7/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain,53,8 to 12 mph,S
79,Dimiter,2/7/2024,Sunset Tavern,Music,Fremont / Ballard,47.6682756,-122.3860837,Rain,53,8 to 12 mph,S
80,Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
81,The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,Rain,53,8 to 12 mph,S
82,An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,8 to 12 mph,S
83,Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,,Rain,53,8 to 12 mph,S
84,Eric Bellinger,2/8/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,8 to 12 mph,S
85,Futurebirds and Nude Party,2/8/2024,The Neptune Theatre,Music,University District,,,Rain,53,8 to 12 mph,S
86,Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown,,,Rain,53,8 to 12 mph,S
87,Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,Rain,53,8 to 12 mph,S
88,The Thorn,2/8/2024 through 2/9/2024,The Paramount Theatre,Theatre,Downtown,,,Rain,53,8 to 12 mph,S
89,Barry Can’t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,Rain,53,8 to 12 mph,S
90,Dark Star Orchestra,2/9/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,8 to 12 mph,S
